Designator,Mid X,Mid Y,Rotation,Layer
D1,85.670309,-63.278842,0.0,top
D10,123.770308,-82.328841,0.0,top
D11,123.770309,-101.378841,0.0,top
D12,123.770309,-120.428841,0.0,top
D13,142.820308,-63.278841,0.0,top
D14,142.820308,-82.328841,0.0,top
D15,142.820309,-101.378841,0.0,top
D16,142.820309,-120.428841,0.0,top
D17,161.870308,-63.278841,0.0,top
D18,161.870308,-82.328841,0.0,top
D19,161.870309,-101.378841,0.0,top
D2,85.670309,-82.328842,0.0,top
D20,161.870309,-120.428841,0.0,top
D21,193.094221,-142.791092,60.0,top
D22,194.826272,-143.791092,60.0,top
D23,180.920309,-63.278841,0.0,top
D24,180.920308,-82.328841,0.0,top
D25,180.920309,-101.378841,0.0,top
D3,85.67031,-101.378841,0.0,top
D4,85.67031,-120.428841,0.0,top
D5,104.720309,-63.278842,0.0,top
D6,104.720309,-82.328842,0.0,top
D7,104.72031,-101.378841,0.0,top
D8,104.72031,-120.428841,0.0,top
D9,123.770308,-63.278841,0.0,top
